jobName,jobAddrNoDesc,jobAddrNoDesc_en,custName,tech_skills,periodDesc,periodDesc_en,coIndustryDesc,coIndustryDesc_en,optionEdu,optionEdu_en
(GA)軟體工程師,新北市,New Taipei City,正崴精密工業股份有限公司,Python,經歷不拘,Experience not required,其他電子零組件相關業,Other Electronic Components,大學,Bachelor's Degree
R0007815: (Sr.) Software Engineer in Windows Agent,台北市,Taipei City,Trend Micro_趨勢科技股份有限公司,,1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
前端工程師 / 資深前端工程師,台北市,Taipei City,千研萬宇科技有限公司,"CSS, HTML, Javascript, React",1年以上,1+ year,網際網路相關業,Internet,專科,Associate Degree
後端工程師 / 資深後端工程師,台北市,Taipei City,千研萬宇科技有限公司,"Git, Java",經歷不拘,Experience not required,網際網路相關業,Internet,專科,Associate Degree
資深／中階 React 前端工程師（Gaming／iGaming）,台北市,Taipei City,奕索科技股份有限公司,"CSS, React, Typescript",3年以上,3+ years,電腦軟體服務業,Software Services,學歷不拘,No degree required
PHP開發工程師【擴編】,台北市,Taipei City,微達軟體有限公司,"CSS, Git, HTML, Javascript, MongoDB, PostgreSQL",5年以上,5+ years,電腦軟體服務業,Software Services,專科,Associate Degree
【太陽能/儲能/綠電交易/能源管理 EMS 開發】資深全端工程師 / 後端工程師 (台北),台北市,Taipei City,阿波羅電力股份有限公司,"Angular, CSS, Django, Git, HTML, Javascript, MongoDB, Node.js, PostgreSQL, Python, React, SQL, Vue",3年以上,3+ years,電力供應業,Power Supply,專科,Associate Degree
前端工程師,台中市,Taichung City,陵曦文化有限公司,"CSS, HTML, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
全端軟體工程師,新北市,New Taipei City,什麼什麼創新智能科技股份有限公司,"C++, Git, Python",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
資訊工程師(擴編),台中市,Taichung City,國睦工業股份有限公司,,5年以上,5+ years,醫療器材製造業,Medical Devices,專科,Associate Degree
技術研發實習生_I00017430,台北市,Taipei City,國泰金控_國泰金融控股股份有限公司,,經歷不拘,Experience not required,金融控股業,Financial Holding,學歷不拘,No degree required
前端工程師(Vue.js),台北市,Taipei City,大放娛樂有限公司,"CSS, Javascript, Vue",經歷不拘,Experience not required,藝人／模特兒等經紀業,Talent Agency,高中,High School Diploma
.NET Core PG (CI/CD建置),台北市,Taipei City,康翔科技股份有限公司,".NET, Azure, CSS, Git, HTML, Javascript, Oracle, Vue",2年以上,2+ years,其它軟體及網路相關業,Other IT,專科,Associate Degree
全端工程師,台中市,Taichung City,肆肆參壹參股份有限公司,"CSS, Git, HTML, Javascript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
初級軟體工程師  Graduate / Junior Software Developer,台北市,Taipei City,英商奧雅納工程顧問有限公司台北分公司,"AWS, Azure, Javascript, MongoDB, Node.js, React, SQL, Vue",經歷不拘,Experience not required,建築及工程技術服務業,Engineering Services,大學,Bachelor's Degree
研發部 | 後端工程師(Node.js) | Backend developer,台北市,Taipei City,城智科技股份有限公司,"Git, MongoDB, Node.js, PostgreSQL",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【太陽能/儲能/綠電交易/能源管理 EMS 開發】全端工程師 / 後端工程師 (台北),台北市,Taipei City,阿波羅電力股份有限公司,"Angular, CSS, Django, Git, HTML, Javascript, MongoDB, Node.js, PostgreSQL, Python, React, SQL, Vue",3年以上,3+ years,電力供應業,Power Supply,專科,Associate Degree
資深全端工程師,台北市,Taipei City,愛比科技股份有限公司,"Azure, MongoDB, Vue",4年以上,4+ years,電子通訊／電腦週邊零售業,Electronics Retail,大學,Bachelor's Degree
維運助理工程師,新北市,New Taipei City,阜爾集團(股票代碼6914)_阜爾運通股份有限公司,,經歷不拘,Experience not required,停車場業,Parking,大學,Bachelor's Degree
全端軟體工程師 (會Blazor佳),台中市,Taichung City,日峰科技股份有限公司,"C#, CSS, Git, HTML, MongoDB, PostgreSQL, RWD, SQL",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Front-End Game Developer 前端遊戲開發工程師,台北市,Taipei City,璽亦科技有限公司,"AWS, Git, HTML, Javascript, Node.js, Typescript, Vue",3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
後端工程師 - PHP/Laravel,台北市,Taipei City,大放娛樂有限公司,"AWS, Git",經歷不拘,Experience not required,藝人／模特兒等經紀業,Talent Agency,高中,High School Diploma
&lt;影音開發&gt; 多媒體通訊系統工程師,台北市,Taipei City,聯和科創股份有限公司,"AWS, Azure, C++, Git, Javascript, Node.js, Typescript",3年以上,3+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
軟體工程師,新竹縣,Hsinchu County,特耐第國際有限公司,,經歷不拘,Experience not required,汽車及其零件製造業,Automotive Manufacturing,大學,Bachelor's Degree
前端整合工程師,台北市,Taipei City,智群智慧股份有限公司,,2年以上,2+ years,生化科技研發業,Biotech R&D,大學,Bachelor's Degree
後端工程師-線上面試,台中市,Taichung City,痞客科技有限公司,"AWS, Git, SQL",2年以上,2+ years,網際網路相關業,Internet,專科,Associate Degree
"區塊鏈工程實習生 Blockchain Engineering Intern(數數發中心, DDT)_I00016730",台北市,Taipei City,國泰金控_國泰金融控股股份有限公司,,經歷不拘,Experience not required,金融控股業,Financial Holding,學歷不拘,No degree required
儲能EMS軟體開發(高階主管)（具電力交易平台實務經驗）(台北),台北市,Taipei City,阿波羅電力股份有限公司,,5年以上,5+ years,電力供應業,Power Supply,專科,Associate Degree
Python 後端工程師,台北市,Taipei City,稑燾智能有限公司,Python,5年以上,5+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
後台API工程師,台北市,Taipei City,光禾感知科技股份有限公司,"AWS, Azure, Git, Javascript, MongoDB, Node.js, React, Typescript",2年以上,2+ years,其它軟體及網路相關業,Other IT,學歷不拘,No degree required
LS - 300人軟體開發公司 - (Sr.) Frontend Engineer (歡迎Angular or Vue經驗，一周兩天遠端上班!),台北市,Taipei City,新加坡商立可人事顧問有限公司台灣分公司,"Angular, Vue",經歷不拘,Experience not required,人力仲介代徵,Recruitment Agency,大學,Bachelor's Degree
全端開發工程師,台北市,Taipei City,太奇智聯股份有限公司,"MongoDB, Oracle, Python, Vue",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
Technical Developer,台北市,Taipei City,Edenred_新加坡商宜睿智慧股份有限公司台灣分公司,".NET, AWS, Azure, C#, CSS, Git, HTML, Javascript",3年以上,3+ years,其他金融及輔助業,Other Finance,大學,Bachelor's Degree
(台中) PHP  工程師,台中市,Taichung City,樂艷有限公司,"Javascript, SQL",經歷不拘,Experience not required,廣告行銷公關業,Advertising & PR,學歷不拘,No degree required
研發部 | 前端工程師(Vue.js) | Frontend developer,台北市,Taipei City,城智科技股份有限公司,"Git, Typescript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Backend Engineer後端工程師,台北市,Taipei City,香港商蒙卓有限公司台灣分公司,"Javascript, MongoDB, Node.js, Typescript",3年以上,3+ years,網際網路相關業,Internet,大學,Bachelor's Degree
程式設計師,高雄市,Kaohsiung City,美樂蒂文教科技興業股份有限公司,"AWS, Azure, Javascript, MongoDB, React, Typescript",經歷不拘,Experience not required,書籍出版業,Book Publishing,大學,Bachelor's Degree
H5遊戲後端工程師,桃園市,Taoyuan City,勝鑫科技股份有限公司,"C#, CSS, Git, HTML, Javascript, MongoDB, React, Vue",經歷不拘,Experience not required,網際網路相關業,Internet,學歷不拘,No degree required
React 前端工程師,台南市,Tainan City,友達宇沛永續科技股份有限公司,"CSS, HTML, Javascript, React, Typescript",3年以上,3+ years,環境衛生及污染防治服務業,Environmental Services,大學,Bachelor's Degree
